a.  un; una .  
racehorse. caballodecarreras . 
racetrack. hip dromo; circuito; pista . 
racial. racial . 
racialism. racismo . 
racing. carrerasdecabellos; carrerasdecoches . 
racism. racismo . 
racist. racista . 
rack. estante; escurreplatos; botellero; zapatero; perchero; portaequipajes; cuelloyespinadorsaldeuncad ver; atormentar; trasegar; torturar; bike . 
rack. soporteparabicicletas; torackone's . 
brains. devanarselossesos . 
racket. raqueta; estafa; timo; fraude; jaleo; ruido; hacerruido . 
racketeer. elquesacadineroapersonasoempresascomercialesconamenazasdeviolenciaodeperjuicioscausadosasusintereses; mafioso . 
racking. atormentado; desgarrador; atroz . 
racquet. raqueta . 
raconteur. narrador . 
racquet. raqueta . 
racy. picante; salado . 
radar. radar . 
raddle. entretejer . 
raddled. depravado; deca do . 
radial. radial . 
radiance. resplandor; brillantez . 
radiant. resplandeciente . 
radiate. radiar; irradiar; salir . 
radiation. radiaci n . 
radiator. radiador . 
radical. radical . 
radio. radio; enviarunmensajeporradio . 
radioactive. radioactivo . 
radioactivity. radiactividad . 
radio-controlled. teledirigido . 
radiograph. radi grafo . 
radiography. radiograf a . 
radiologist. radi logo . 
radiology. radiolog a . 
radiotelegraphy. radiotelegraf a . 
radiotherapy. radioterapia . 
 . 
radish. r bano . 
radium. radio . 
radius. radio . 
raffia. rafia . 
raffish. disipado; disoluto . 
raffle. rifa; sorteo; rifar; sortear . 
raft. almad a; balsa; mont n; cantidad; serie; grupo . 
rafter. viga; par; the . 
rafters. eltecho . 
rag. papelucho; periodicucho; trapo; harapo; andrajo; enfurecer; guasear; tomarelpelo . 
ragamuffin. granuja; galop n . 
ragbag. bolsaderecortes; caj ndesastre; mezcolanza; batiburrillo . 
rage. rabia; ira; furia; violencia; furor; moda; continuarconplenovigor; desencadenarse; bramar; rugir; rabiar . 
ragged. irregular; desigual; harapiento; andrajoso; torunsomebody . 
ragged. cansarauno; agobiarauno . 
raging. tremendo; espantoso; feroz; embravecido . 
ragman. trapero . 
ragout. guisado . 
ragstone. piedradeamolar . 
rag-tag. chusma . 
ragweed. ambros a . 
raid. incursi n; irrupci n; redada; atraco; robo; asaltar; robar; atracar; hacerunaincursi n; hacerunaredada . 
raider. atracador . 
rail. barra; barandilla; pasamanos; toallero; ra l; rasc n; ciertotipodep jaro; vestido; capa; pa ueloparaelcuello; barrera; maldecir; despotricarrailagainst/ . 
at. injuriar . 
railing. barandilla; pasamanos; verja; injurioso . 
raillery. burla; bufonada . 
railroad. ferrocarril; v adeltren; obligar . 
railway. ferrocarril; v adeltren . 
raiment. ropa; vestidos; vestimenta . 
rain. lluvia; llover . 
rainbow. arcoiris . 
raincheck. valequelosespectadoresrecibencuandoseaplazaunpartido; totakea . 
raincheck. apuntarseparalapr ximavez . 
raincoat. impermeable . 
raindrop. gotadelluvia . 
rainfall. pluviosidad . 
rainforest. selvatropical . 
rainproof. impermeable . 
rainwater. aguadelluvia . 
rainy. lluvioso . 
raise. aumento; alzar; erigir; aumentar; criar; cultivar; educar; recaudar; obtener; mejorar; reunir; conseguir; plantear; provocar; comunicarsecon . 
raiser. productor . 
raisin. pasa . 
rake. rastrillo; libertino; rascar; barrer; rastrillar; escudri ar; hurgarrake . 
over. torakeoverthe . 
coals. criticarseveramenterake . 
up. recogerconelrastrillo; remover . 
rakehell. corrompido . 
 . 
rake-off. comisi n; tajada; porcentaje . 
rakeshame. base; canalladisoluto . 
rakish. libertino; airoso; gallardo . 
rally. reuni n; mitin; congreso; manifestaci n; rally; punto; reunir; reanimar; fortalecer; infundir nimo; recuperarse; reorganizarse . 
ram. carnero; espol n; buqueespol n;  mbolopercutor; meter; clavar; atacar; chocarcontra; golpear; battering . 
ram. ariete . 
ramble. paseo; excursi napie; pasear; divagar; hablarsinparar; serpentear . 
rambler. excursionista; trepadora . 
rambling. confuso; enmara ado; confuso; incoherente; laber ntico; grandeydeplantairregular; desvar os; trepador; excursionismo . 
rambunctious. bullicioso; pendenciero . 
ramifications. ramificaciones; entresijos; implicaciones; consecuencias . 
ramp. rampa; desnivel; descender . 
rampage. desmandarse; desbocarse . 
rampant. exuberante; violento; desenfrenado; furioso; agresivo . 
rampart. terrapl n; muralla . 
rampion. camp nulacuyara zsecomeenensalada . 
ramrod. baquetadefusil . 
ramshackle. destartalado; desvencijado . 
ramson. ajosalvajedehojasgrandes . 
ran. pasadoderun . 
ranch. hacienda; rancho . 
rancher. hacendado; ranchero . 
rancid. rancio . 
rancio. rancio . 
rancour. rencor . 
rancorous. rencoroso . 
random. aleatorio; alazar . 
randy. cachondo . 
rang. pasadodering . 
range. fila; distancia; alcance; escala; gama; registro; autonom adevuelo; campodetiro; fog n; sierra; cordillera; pradera; extenderse; fluctuar; oscilar; variar; recorrer; colocar;  . 
ranges. monta as . 
range-finder. tel metro . 
ranger. guardabosques; guarda; polic a; soldadodelastropasdeasalto . 
rangy. altoydelgado . 
rank. lozano; exuberante; categor a; rango; absoluto; fila; hilera; rancio; maloliente; figurar; toclose . 
ranks. cerrarfilas; therankand . 
file. lagentecom n . 
rankle. doler; roer . 
ranks. filas . 
ransack. registrar; saquear . 
ransom. rescate . 
rant. vociferar; despotricar . 
ranter. fanfarr n; oradorpopulachero . 
ranting. lenguajevociferante . 
rap. acusaci n; golpe; rap; golpear; llamar; cantarrap; idon'tcarea . 
rap. meimportaunbledo . 
rapacious. rapaz; voraz; codicioso . 
rape. rapto; violaci n; robo; colza; violar . 
rapid. r pido;  . 
rapids. r pidos . 
rapidity. rapidez . 
 . 
rapier. estoque . 
rapist. violador . 
rapping. golpessecos; llamada . 
rapport. relaci n; entendimiento . 
rapprochement. acercamiento; aproximaci n; reconciliaci n . 
rapscallion. brib n; golfo . 
rapt. absorto; extasiado; profundo . 
rapture.  xtasis . 
rapturous. embelesado; arrobado; muyentusiasta . 
rare. excepcional; raro; pocohecho . 
rarefied. enrarecido . 
rarely. rarasveces . 
raring. llenodeentusiasmo . 
rarity. rareza . 
rascal. brib n; granuja; canalla; p caro; pillo . 
rascality. picard a . 
rash. erupci n; sarpullido; sucesi n; serie; brote; racha; precipitado; irreflexivo; temerario; imprudente . 
rasher. lonja; loncha . 
rashness. temeridad; imprudencia; precipitaci n . 
rasp. roce; raspamiento; raspador; escofina; sonidodesapacible; tono spero; hablarconvozronca; raspar; decircontono spero . 
raspberry. frambuesa; pedorreta . 
rasping. ronco . 
rat. rata; sabandija . 
ratchet. trinquete; seriededientesenelbordedeunabarraoruedaquepermitenelmovimientos loenunadirecci n . 
rate. precio; tarifa;  ndice; tasa; velocidad; ritmo; considerar; merecer; atany . 
rate. almenos; detodosmodos . 
ratepayer. contribuyente . 
rather. bastante; m sbien; muy . 
ratification. ratificaci n . 
ratify. ratificar . 
ratings. clasificaci n; r nking . 
ratio. proporci n; raz n . 
ration. raci n; racionar . 
rational. l gico; racional; sensato; razonable . 
rationale. basel gica; raz nfundamental . 
rationalization. recionalizaci n . 
rationalize. racionalizar . 
rattan. juncodeindias . 
ratted. renegado . 
rattle. sonajero; matraca; cascabel; vibraci n; traqueteo; sacudir; repiquetear; temblar; ponernervioso; desconcertar; golpearrattle . 
off. desconcertar; decirr pidamenterattle . 
on. hablarsinpararrattle . 
through. despachar . 
rattlesnake. serpientedecascabel . 
rattletrap. desvencijado; armatoste . 
rattling. r pidamente . 
ratty. andrajoso; demalhumor . 
 . 
raucous. ronco . 
raunchy. lascivo; cachondo; verde; subidodetono . 
ravage. destrozar; devastar . 
rave. fiesta; delirar; desvariar; enfurecerse; entusiasmarse; despotricar; bramar . 
rave-in. org a . 
ravel. deshacer; desenredar . 
raven. cuervo; negro; apresar . 
ravening. rapaz; salvaje . 
ravenous. hambriento; fam lico; voraz; tobe . 
ravenous. tenerunhambrecanina . 
raver. juerguista . 
rave-up. juerga . 
ravigote. salsaoali odecolorverdeconpur deespinacas,vinagreyunamezcladehierbas . 
ravine. barranco; garganta; hondonada . 
raving. delirante; delirio; desvar o . 
ravioli. raviolis . 
ravish. robar; raptar; violar; encantar; embelesar . 
ravishing. encantador; embelesador . 
raw. crudo; enrama; sinrefinar; enbruto; sinprocesar; novato; fr o; carneviva; inthe . 
raw. desnudo; raw . 
material. materiaprima . 
ray. rayo; raya; radio; teladelanausadaentrelossiglosxiiiyxvi . 
rayon. ray n . 
raze. arrasar; asolar . 
razor. navaja; maquinilladeafeitar; arrasar; asolar . 
reach. alcance; alcanzar; llegara; localizar; ponerseencontactocon; extenderse . 
react. reaccionar . 
reaction. reacci n . 
reactionary. reaccionario . 
reactivate. reactivar . 
read. leer; entender; decir; estudiar; interpretar; toreadto . 
somebody. leerunlibroaalguienread . 
back. leerread . 
on. seguirleyendoread . 
out. leerenvozaltaread . 
over. repasarread . 
through. leerread . 
up. estudiar . 
readable. legible; ameno . 
readdress. remitiraunanuevadirecci n . 
reader. lector; librodelectura; profesoradjunto . 
readership. lectores; puestodeprofesoradjunto . 
readily. enseguida; pronto; prontamente; debuenagana; f cilmente . 
readiness. preparaci n; buenadisposici n . 
reading. lectura; indicaci n; interpretaci n . 
reading-room. saladelectura . 
readjust. readaptarse; reajustar . 
readjustment. readaptaci n; reajuste . 
readout. lecturadesalida . 
ready. preparado; listo; dispuesto; f cil; disponible; preparar . 
ready-cooked. precocinado . 
ready-made. confeccionado; hecho . 
ready-salted. consal . 
reaffirm. reafirmar . 
 . 
reagent. reactivo . 
real. verdadero; real; aut ntico; muy; real . 
state. bienesra ces . 
realisable. realizable . 
realise. realizar; reconocer; darsecuenta . 
realism. realismo . 
realist. realista . 
realistic. realista . 
reality. realidad . 
realizable. realizable . 
realization. realizaci n; comprensi n . 
realize. realizar; reconocer; darsecuenta; vender . 
really. enrealidad; deveras; verdaderamente . 
realm. reino; esfera; dominio; campo; mundo . 
realtor. corredordebienesra ces; agenteinmobiliario . 
ream. resma; unmont n; escariar;  . 
reap. segar; cosechar; recoger . 
reaper. segadora . 
reaping. siega . 
reappear. reaparecer . 
reappearance. reaparici n . 
reapply. enviarunanuevasolicitud . 
reappraisal. reevaluaci n . 
rear. posterior; fondo; partedeatr s; levantar; criar; educar; encabritarse . 
rearguard. retaguardia . 
rearm. rearmar . 
rearrange. colocardeotramanera; cambiarlafechade . 
reason. causa; l gica; raz n; motivo; sentido; considerar; razonar; llegaralaconclusi nreason . 
with. convencer; hacerentrarenraz n . 
reasonable. razonable; sensato . 
reasoned. razonado . 
reasoning. razonamiento . 
reassemble. volverareunir; volveracelebrarunasesi n; montardenuevo . 
reassert. reafirmar; reiterar . 
reassess. revalorar . 
reassurance. promesa . 
reassure. tranquilizar; asegurar . 
reassuring. tranquilizador . 
reast. rancio . 
rebate. rebaja; reducci n; devoluci n; desembolsorebec, . 
rebeck. antiguoviol ncontrescuerdas . 
rebel. rebelde; rebelarse . 
rebellion. rebeli n; sublevaci n . 
rebellious. rebelde . 
rebirth. renacimiento . 
rebound. rebote; rebotar . 
rebuff. rechazo; repulsar; rechazar . 
rebuild. reconstruir; rehacer . 
rebuilt. pasadoyparticipiopasadoderebuild . 
rebuke. reprimenda; reprender; re ir . 
rebus. jerogl fico . 
rebuttal. refutaci n . 
 . 
recalcitrant. recalcitrante; terco . 
recall. retirada; memoria; recordar; acordarse; llamar; revocar; retirar . 
recant. retractarse . 
recap. recapitulaci n; resumen; recapitular; resumir . 
recapitulate. recapitular; resumir . 
recapitulation. recapitulaci n; resumen . 
recapture. reconquista; recobrar; reconquistar; volveratomar; hacerrevivir . 
recast. difundir; repartirdeotramaneralospapeles . 
recede. retroceder; retirarse; disminuir . 
receipt. recibo . 
receive. aceptar; recibir; captar; sufrir . 
receiver. receptor; auricular; destinatario; perista . 
receiving. tobeatthereceiving . 
end. serelblancoolav ctima . 
recent. reciente . 
recently. elotrod a; recientemente . 
receptacle. recept culo; recipiente . 
reception. acogida; recepci n; recibimiento . 
receptionist. recepcionista . 
receptive. receptivo . 
receptiveness. receptividad . 
recess. hueco; lugarrec ndito; descanso; recreo; suspender; apartar . 
recesses. lom shondo; lom srec ndito . 
recession. retroceso; recesi n . 
recharge. recargar . 
rechargeable. recargable . 
recidivist. reincidente . 
recipe. receta . 
recipient. destinatario . 
reciprocal. rec proco . 
reciprocate. devolver; corresponder . 
recital. recital . 
recitation. recitaci n; enumeraci n . 
recite. recitar; narrar; enumerar . 
reck. preocuparse; tenerencuenta . 
reckless. imprudente; osado; temerario; insensato . 
recklessness. imprudencia; temeridad . 
reckon. calcular; suponer; contar; considerar; creerreckon . 
on. contarconreckon . 
with. contarcon; esperarse; tenerencuentareckon . 
without. notenerencuenta . 
reckoning. cuenta; c lculo . 
reclaim. recuperar; ganaralmar . 
reclamation. reciclaje . 
recline. recostarse; reclinarse; apoyar . 
reclining. reclinable . 
recluse. monje; personaqueviverecluida . 
reclusive. solitario; hura o . 
recognition. reconocimiento . 
recognizable. reconocible . 
recognize. reconocer; admitir . 
recoil. retroceso; retroceder; darunpasoatr s; rebotar; sentirrepugnancia . 
 . 
recollect. acordarse; recordar . 
recollection. recuerdo; memoria; tothebestofmy . 
recollection. queyorecuerde . 
recommence. recomenzar . 
recommend. aconsejar; recomendar . 
recommendation. recomendaci n; consejo . 
recompense. recompensa; indemnizaci n; compensaci n; indemnizar; compensar; recompensar . 
reconcile. reconciliar; compaginarreconcile . 
to. resignarse . 
reconciliation. reconciliaci n; conciliaci n . 
reconnaissance. reconocimiento . 
reconnoitre. reconocer . 
reconsider. reconsiderar; recapacitar . 
reconsideration. reconsideraci n; revisi n . 
reconstitute. reconstituir; reorganizar . 
reconstruct. reconstruir . 
reconstruction. reconstrucci n . 
record. disco; r cord; registro; constancia; relaci n; documento; expediente; historial; antecedentes; registrar; grabar; apuntar; tomarnota; offthe . 
record. extraoficial; confidencial . 
recorded. grabado . 
recorder. flautadulce . 
recording. grabaci n . 
recount. contar . 
recoup. recobrar; recuperar . 
recourse. recurso . 
recover. curarse; recuperar; cobrar; restablecerse; rescatar . 
recovery. curaci n; restablecimiento . 
recreant. cobarde . 
recreate. recrear . 
recreation. recreaci n; recreo; pasatiempo . 
recreational. recreativo . 
recriminate. recriminar . 
recrimination. recriminaci n . 
recruit. recluta; nuevoempleadoomiembro; reclutar; contratar; conseguir; reponerse; alistar . 
recruitment. reclutamiento; contrataci n . 
rectangle. rect ngulo . 
rectangular. rectangular . 
rectification. rectificaci n . 
rectify. rectificar . 
rector. pastor; p rroco; rector . 
rectory. rector a . 
rectum. intestinorecto; recto . 
recumbent. recostado; acostado . 
recuperate. recuperar; reponerse . 
recuperation. recuperaci n; restablecimiento . 
recur. repetirse; reaparecer; reproducirse . 
recurrence. reaparici n; repetici n . 
recurrent. recurrente; peri dico . 
recurring. peri dico; recurrente . 
recusant. d cesedelapersonaquesenegabaaasistiralaiglesiaeninglaterracuandoeraobligatorio . 
recycle. reciclar . 
 . 
recycling. reciclaje; reciclado . 
red. rojo; colorado; comunista; red . 
deer. ciervocom n . 
redcap. mozodeestaci n . 
redcurrant. grosellaroja . 
redden. ponerserojo; enrojecer; te irderojo . 
reddish. rojizo . 
rede. consejo . 
redecorate. pintar; empapelar . 
redeem. amortizar; compensar; cumplir; expiar; rescatar; redimir . 
redeemable. amortizable; reembolsable . 
redemption. redenci n . 
redeploy. trasladar . 
redeployment. traslado . 
redevelop. renovar; modernizar . 
redevelopment. renovaci n; modernizaci n . 
red-eye. ciertotipodepez . 
red-haired. pelirrojo . 
redhanded. conlasmanosenlamasa . 
redhead. pelirrojo . 
red-hot. candente; alrojovivo . 
red-headed. pelirrojo . 
redial. volveramarcar . 
redirect. remitir; desviar . 
rediscover. redescubrir . 
red-letter-day. d ase alado; d aespecial . 
redneck. campesino . 
redo. rehacer . 
redolent. perfumado . 
redouble. redoblar; intensificar . 
redoubt. reducto . 
redoubtable. formidable; temible . 
redress. reparaci n; reparar; enmendar; corregir; compensar; rectificar . 
redshank. archibebe; lavanderaconlaspatasrojas . 
redskin. pielroja . 
redstart. colirrojoreal . 
reduce. disminuir; rebajar; reducir . 
reduction. rebaja; reducci n; disminuci n . 
redundancy. despido . 
redundant. superfluo . 
redwing. malvis; tordoconrayasrojizasbajolasalas . 
reed. junco; junquillo; ca a; leng eta . 
reedbed. juncal; ca averal . 
reedy. llenodeca as; aflautado . 
reef. arrecife; escollo; colgaralgunacosademodoqueresistalosbalances; toletouta . 
reef. soltarelcintur n . 
reefer. marihuana . 
reek. vapor; humo; tufo; hedor; peste; apestar; heder . 
reel. carrete; rollo; bobina; baileescoc smuyvivo; tambalearse; retroceder; darvueltas(cabeza)reel . 
in. tirar; sacardelaguareel . 
off. enumerarr pidamente; recitar . 
re-elect. reelegir . 
 . 
re-election. reelecci n . 
reel-to-reel. grabadoradebobina . 
re-employ. volveracontratar; readmitir . 
reenact. volverarepresentarunpapel . 
reenactment. reconstrucci n . 
re-enter. volveraentrar . 
re-entry. reentrada . 
reeve. juezlocal; magistradodeunaciudadodistrito . 
re-examination. nuevoexamen; examenderecuperaci n . 
re-examine. volveraexaminar . 
ref.  rbitro . 
refectory. refectorio; comedor . 
refer. remitirrefer . 
to. remitira; aludira; consultar; calificar . 
referee.  rbitro; personaqueescribereferenciaspersonales; arbitrar . 
reference. referencia; alusi n; relaci n . 
referendum. refer ndum . 
referral. actoderemitiraotrapersonauorganizaci n . 
refill. repuesto; recambio; volverallenar; recargar . 
refine. refinar; purificar; afinar; pulir; perfeccionar . 
refined. fino; refinado . 
refinement. refinaci n; perfeccionamiento . 
refinery. refiner a . 
refining. refinado; purificaci n . 
refit. volveraequipar; reparar; renovar; reacondicionar . 
reflate. reflacionar . 
reflation. reflaci n . 
reflect. reflexionar; meditar; reflejar; traerconsigoreflect . 
on. meditar . 
reflection. descr dito; reflejo; imagen; reflexi n; consideraci n; tacha; descr dito; repliegue . 
reflective. reflexivo; meditativo; reflejo . 
reflector. reflector; telescopiodereflexi n . 
reflex. reflejo; acci nrefleja; doblarodirigirhaciaatr s . 
reflexive. reflective . 
refloat. volveraponeraflote . 
reflourish. reflorecer . 
reflow. refluir . 
reflux. reflujo . 
reforest. repoblarde rboles . 
reforestation. reforestaci n . 
reform. reforma; reformar; mejorar; enmendar; convertir . 
reformation. reforma . 
reformat. reformatear . 
reformation. reforma . 
reformatory. reformatorio . 
reformer. reformador . 
refract. refractar . 
refraction. refracci n . 
refractive. refractivo . 
refractor. telescopioderefracci n . 
refractory. terco; obstinado; rebelde; refractario; resistente; inmune; caballoqueseresistea . 
obedeceralquelorige . 
refrain. estribillo; cantinela; refrenar; contener; detener; abstenerse . 
reframe. rehacer; reconstituir; encuadrardenuevo . 
refrangible. refrangible; quepuederefractarse . 
refresh. refrescar; orear; renovar; restaurar; descansar; vivificar; reanimar . 
refresher. refrescador; bebida; recordativo; cursillodevacaciones . 
refreshing. refrescante; reparador; estimulante . 
refreshment. refresco; refrigerio; renovaci n; descanso . 
refrigerate. refrigerar; helar . 
refrigerating. refrigerante; frigor fico . 
refrigeration. refrigeraci n . 
refrigerator. refrigerador; nevera; frigor fico; refrigerante . 
refringent. refringente; refractario . 
refuel. repostar; ponercombustiblearefueling, . 
refuelling. reabastecimientodecombustible . 
refuge. refugio; cobijo; asilo; protecci n; guarida; recurso; pretexto; escapatoria . 
refugee. refugiado; asilado . 
refulgent. refulgente . 
refund. reintegro; reembolso; devoluci n; amortizaci n; consolidaci n; reintegrar; restituir; reembolsar; amortizar; consolidar; devolver . 
refurbish. restaurar; renovar; volverapulir . 
refusal. negativa; denegaci n; repulsa; desaire; opci n; preferencia . 
refuse. desecho; basura; desperdicios; sobras; dedesecho; rehusar; rechazar; desechar; denegar; negar; negarse; renunciar; abandonar . 
refutation. refutaci n; impugnaci n . 
refute. refutar; impugnar; rebatir . 
regain. recobrar; recuperar . 
regal. peque o rganoport tildelossiglosxviyxvii; regio; real . 
regale. agasajar; festejar; regalar; recrear; deleitar; entretener . 
regalia. atav o; insignias; distintivos; galas . 
regality. realeza; soberan a . 
regally. conpompa . 
regard. respeto; consideraci n; miramiento; cuidado; atenci n; caso; afecto; respeto; relaci n; respecto; mirada; mirar; contemplar; reparar; observar; concernir; considerar; estimar; apreciar; respetar; concernir;  . 
regards. memorias; recuerdos . 
regardful. atento; cuidadoso; respetuoso; considerado; observante . 
regarding. respectoa; encuantoa; relativoa . 
regardless. apesardetodo; indiferente; quenohacecaso; quenotieneencuenta . 
regatta. regata . 
regency. regencia . 
regenerate. regenerado; regenerar . 
regeneration. regeneraci n . 
regenerative. regenerador . 
regenerator. regenerador . 
regent. regente . 
reggae. reggae . 
regicide. regicidio; regicida . 
regime. r gimen . 
regimen. r gimen . 
regiment. regimiento; regimentar . 
regimentals. uniforme . 
 . 
regimentation. reglamentaci n; disciplinaestricta . 
regimented. reglamentado; estrictamenteordenado . 
region. regi n . 
regional. regional . 
regionalism. regionalismo . 
regionalist. regionalista . 
register. registro; archivo; protocolo; matr cula;  ndice; regulador; indicador; certificar; facturar; inscribirse; registrar; se alar; matricular; abanderar; producirimpresi n . 
registered. certificado; facturado; matriculado; inscrito . 
registrar. registrador; archivero; m dicointerno . 
registration. inscripci n; matriculaci n; registro; facturaci n; partida . 
registry. registro; matr cula . 
regnant. reinante; dominante . 
regorge. vomitar; devolver . 
regress. retroceder . 
regression. regresi n; retroceso . 
regressive. regresivo; retr gado . 
regret. pesar; arrepentimiento; sentimiento; remordimiento; a oranza; sentir; lamentar; arrepentirse; llorar; a orar . 
regretful. pesaroso; arrepentido . 
regrettable. sensible; lamentable . 
regroup. reagrupar . 
regular. soldadodel nea; obreropermanente; corriente; normal; regular; ordinario; ordenado; met dico; acabado; consumado; personaquevivebajounareglaoinstitutoreligioso . 
regularity. regularidad . 
regularize. regularizar . 
regulate. regular; arreglar; reglamentar; ajustar; controlar . 
regulating. regulador . 
regulation. regla; orden; reglamento; regulaci n; reglamentario; dereglamento; derigor . 
regulative. regulador . 
regulator. regulador; registro . 
regulus. r gulo; metalimpuro; productointermedioalfundirminerales; estrelladeprimeramagnitudenleo; p jarosdecrestadorada . 
regurgitate. regurgitar; devolver; repetirmaquinalmente . 
regurgitation. regurgitaci n; repetici nmaquinal . 
rehabilitate. rehabilitar . 
rehabilitation. rehabilitaci n . 
rehash. refrito; recomponer; refundir; hacerunrefrito . 
rehearsal. ensayo . 
rehearse. ensayar; repetir . 
rehouse. darunanuevavivienda; realojar . 
reign. reinado; gobernar; reinar . 
reigning. reinante; actual . 
reimburse. reembolsar . 
reimbursement. reembolso . 
rein. rienda; refrenar; pararse; togivefree . 
rein. darriendasuelta . 
reincarnate. reencarnar . 
reincarnation. reeencarnaci n . 
reindeer. reno . 
reinforce. reforzar; apoyar; fortalecer . 
reinforcements. refuerzos . 
 . 
reinstate. reponer; readmitir; rehabilitar . 
reinstatement. readmisi n; rehabilitaci n . 
reintegration. reinserci n . 
reissue. reedici n; reeditar; volverapublicar . 
reiterate. reiterar; repetir . 
reiteration. reiteraci n . 
reject. art culodefectuoso; personamarginada; rechazar; rehusar; reprobar . 
rejection. rechazo; respuestanegativa . 
rejoice. alegrar; regocijar . 
rejoicing. regocijo; j bilo . 
rejoin. volverajuntarsecon; reincorporarse . 
rejoinder. r plica . 
rejuvenate. rejuvenecer . 
rejuvenating. rejuvenecedor . 
rejuvenation. rejuvenecimiento . 
rekindle. reavivar . 
relapse. reca da; reincidencia; recaer; reincidir . 
relate. contar; relatar; relacionar; establecerunarelaci nentre; entenderse; congeniarrelate . 
to. relacionarsecon . 
related. relacionado; emparentado . 
relation. pariente; relaci n . 
relationship. relaci n; parentesco . 
relative. pariente; relativo . 
relativity. relatividad . 
relax. descansar; relajarse; aflojar; suavizar . 
relaxation. relajaci n; esparcimiento; descanso . 
relaxing. relajante . 
relay. relevo; rel ; turno; retransmitir; dar . 
release. libertad; permiso; puestaenventa; lanzamiento; escape; emisi n; autorizarlapublicaci nde; ponerenlibertad; soltar; dispensar; sacar; ponerenventa; hacerp blico; despedir . 
relegate. relegar . 
relegation. relegaci n; descenso . 
relent. ablandarse; apiadarse; ceder . 
relentless. implacable . 
relevance. pertinencia; relaci n . 
relevant. pertinente . 
reliability. fiabilidad . 
reliable. fiable . 
reliance. confianza; seguridad; dependencia . 
relic. ruina; reliquia . 
relict. viuda; superviviente;  . 
relicts. restosmortales . 
relief. relieve; realce; alivio; ayuda; sustituto; relevo . 
relieve. romperlamonoton a; relevar; aliviar; ayudar; socorrer . 
relieved. aliviado . 
religion. religi n . 
religious. religioso . 
reline. ponerunforronuevo . 
relinquish. abandonar; soltar; renunciar . 
relish. salsadeverduraqueseusacomocondimento; gusto; deleite; saborear; gustar . 
relive. volveravivir; revivir . 
 . 
relocate. trasladarse . 
relocation. traslado . 
reluctance. reticencia . 
reluctant. reacio . 
rely. confiarrely . 
on. contarcon; confiar; depender . 
remain. quedar; quedarse; seguir; permanecer . 
remainder. resto; sobrante; venderapreciodesaldo . 
remaining. dem s; restante . 
remake. nuevaversi n; rodarunanuevaversi n . 
remand. reencarcelar . 
remark. observaci n; comentario; advertir; observarremakeon/ . 
upon. comentar; hacerunaobservaci n . 
remarkable. notable; extraordinario . 
remarry. volveracasarse . 
rematch. revancha . 
remedial. terap utico; derecuperaci n . 
remedy. remedio; curar; remediar . 
remember. acordarse; recordarremember . 
by. recordarpormediodealgo . 
remembrance. recuerdo; conmemoraci n . 
remind. recordar . 
reminder. recuerdo; aviso; notificaci n . 
reminisce. contarlosrecuerdos; recordarviejashistorias . 
reminiscences. memorias; reminiscencias . 
reminiscent. querecuerda . 
remiss. negligente; descuidado . 
remission. remisi n; disminuci n . 
remit. remitir; enviar; perdonar . 
remittance. remesa; giro; env o . 
remnant. resto; trozo; retazo; vestigio; residuo . 
remold. neum ticorecauchutado . 
remonstrance. protesta; amonestaci n; razonamientoparadisuadir . 
remonstrate. objetar; protestar; remonstrate . 
with. reconvenir . 
remorse. remordimiento . 
remorseful. arrepentido; llenoderemordimientos . 
remorseless. implacable; despiadado; persistente . 
remote. lejano; remoto; apartado; aislado . 
remoteness. improbabilidad; frialdad; reserva . 
remould. neum ticorecauchutado . 
remount. caballofrescoodescansado . 
removable. dequitaypon; quesepuedequitar . 
removal. eliminaci n; supresi n; alejamiento; extirpamiento; destituci n; mudanza . 
remove. quitar; remover; eliminar; tachar; suprimir; extirpar; destituir . 
remunerate. remunerar . 
remuneration. remuneraci n . 
remunerative. remunerativo . 
renal. renal . 
rend. rasgar; desgarrar; hender . 
render. dar; entregar; devolver; reflejar; volver; ponerenunestado; dictar; derretir; reproducir; administrarjusticia; prestar . 
 . 
rendering. interpretaci n; revoque . 
rendezvous. encuentro; lugardeencuentro; encontrarse . 
rendition. interpretaci n; ejecuci n . 
renegade. renegado . 
renege. faltarasupalabra . 
renew. alargar; renovar; prorrogar; reanudar; cambiar . 
renewable. renovable; prorrogable . 
renewal. reanudaci n; renovaci n; cambio . 
renounce. renunciara . 
renovate. renovar . 
renovation. renovaci n . 
renown. renombre; fama . 
renowned. renombrado; famoso . 
rent. grieta; alquiler; rasgar; alquilarrent . 
out. alquilar . 
rental. alquiler . 
renunciation. renuncia . 
reopen. volveraabrir; volveraentablar . 
reorganization. reorganizaci n . 
reorganize. reorganizar . 
rep. agente; representante; reps; telafuerteusadaenobrasdetapicer a; repertorio . 
repaid. pasadoyparticipiopasadoderepay . 
repair. reparaci n; arreglo; arreglar; repararrepair . 
to. refugiarseen; acudir; ir . 
repairable. reparable . 
reparation. reparaci n . 
repartee. respuestaprontayaguda; conversaci ningeniosa . 
repast. comida . 
repatriate. repatriar . 
repatriation. repatriaci n . 
repay. compensar; reintegrar; pagar . 
repayment. reintegro; pago . 
repeal. derogaci n; revocar; derogar . 
repeat. repetici n; reposici n; repetir . 
repeated. repetido . 
repeater. relojderepetici n . 
repel. repeler; repugnar . 
